date_time,WindChillC,cloudcover,humidity,tempC,visibility,winddirDegree,windspeedKmph
2018/11/15,24,91,83,24,10,85,18
2018/11/16,25,64,83,26,10,86,14
2018/11/17,24,90,83,24,10,57,13
2018/11/18,25,69,80,26,10,151,10
2018/11/19,24,40,67,25,10,70,12
2018/11/20,24,72,75,25,10,81,16
2018/11/21,25,65,76,26,10,130,11
2018/11/22,20,56,60,22,10,60,19
2018/11/23,22,22,60,23,10,90,12
2018/11/24,23,20,65,23,10,61,12
2018/11/25,20,70,72,22,9,43,12
2018/11/26,20,68,78,21,10,43,11
2018/11/27,20,99,77,20,9,35,11
2018/11/28,21,87,83,21,9,47,10
2018/11/29,22,35,74,24,10,71,12
2018/11/30,23,40,69,24,10,81,15
2018/12/1,23,29,74,24,10,77,13
2018/12/2,24,10,77,25,10,90,10
2018/12/3,24,60,81,25,10,84,9
2018/12/4,26,20,76,27,10,71,7
2018/12/5,24,84,78,25,10,65,15
2018/12/6,23,65,83,24,10,66,10
2018/12/7,21,89,74,23,10,33,15
2018/12/8,17,75,63,19,10,17,17
2018/12/9,15,76,74,16,9,104,14
2018/12/10,16,76,69,18,10,53,15
2018/12/11,17,52,62,18,10,267,20
2018/12/12,13,45,60,16,10,98,19
2018/12/13,13,81,68,15,10,13,16
2018/12/14,15,51,66,18,10,19,14
2018/12/15,19,60,66,20,10,109,11
2018/12/16,18,63,71,19,10,308,15
2018/12/17,18,16,46,20,10,66,14
2018/12/18,20,34,47,20,10,62,14
2018/12/19,21,72,73,23,10,85,14
2018/12/20,23,48,83,24,10,107,10
2018/12/21,24,35,82,25,10,94,13
2018/12/22,23,70,78,24,10,61,10
2018/12/23,21,100,76,22,9,27,15
2018/12/24,18,93,75,19,9,31,15
2018/12/25,19,79,74,21,10,38,10
2018/12/26,22,58,70,23,10,161,6
2018/12/27,22,43,66,22,10,39,12
2018/12/28,18,27,61,20,10,36,19
2018/12/29,12,44,62,14,10,21,20
2018/12/30,9,70,59,13,10,10,20
2018/12/31,10,79,69,12,10,138,18
